Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol
TOTB GY Equity,TotalEnergies SE,EUR,GY,FR,Common Stock,54.6,27994.23
ADVI FP Equity,Advini,EUR,FP,FR,Common Stock,19.5,178.3
AIRF AV Equity,Air France-KLM,EUR,AV,FR,Common Stock,1.84,3524.674
CRAP FP Equity,Caisse Regionale de Credit Agricole Mutuel Alpes Provence,EUR,FP,FR,Common Stock,69.03,209.2333
ALEMG FP Equity,Euromedis Groupe,EUR,FP,FR,Common Stock,5.99,9609.434
AIR TH Equity,Airbus SE,EUR,TH,FR,Common Stock,109.48,40191.46
ALCOG FP Equity,Cogra 48,EUR,FP,FR,Common Stock,11.05,2639.633
ALECP FP Equity,EuropaCorp,EUR,FP,FR,Common Stock,0.52,12000.3
MLTHO FP Equity,Metavisio SA,EUR,FP,FR,Common Stock,8.3,2004.267
964152Z FP Equity,Consolis SAS,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
AIREUR EU Equity,Airbus SE,EUR,EU,FR,Common Stock,109.5,5005162
CCN FP Equity,Caisse Regionale de Credit Agricole Mutuel de Normandie-Seine,EUR,FP,FR,Common Stock,84,310.0333
ALNFT FP Equity,NFTY SA,EUR,FP,FR,Common Stock,0.1866,82907.77
AREIT FP Equity,Altareit SCA,EUR,FP,FR,Common Stock,645,1.3
DIM EU Equity,Sartorius Stedim Biotech,EUR,EU,FR,Common Stock,314.4,144432.9
ALTUV FP Equity,BIO-UV Group SAS,EUR,FP,FR,Common Stock,4.97,8550.833
AMPLI FP Equity,Amplitude Surgical SAS,EUR,FP,FR,Common Stock,2.77,2280.133
SNW GR Equity,Sanofi,EUR,GR,FR,Common Stock,100.52,7016.433
211382Z FP Equity,BRED Banque Populaire,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALTHX FP Equity,TheraNexus SACA,EUR,FP,FR,Common Stock,2,23964.5
BNP TH Equity,BNP Paribas SA,EUR,TH,FR,Common Stock,53.52,18337.4
SGO EU Equity,Cie de Saint-Gobain,EUR,EU,FR,Common Stock,55.39,3241439
ALBIZ FP Equity,Obiz SA,EUR,FP,FR,Common Stock,7.3,2912.033
ALLEC FP Equity,Cogelec SACA,EUR,FP,FR,Common Stock,7.84,967.5
BOIVF US Equity,Bollore SE,USD,US,FR,Common Stock,5.32,148874.3281
LVMH SW Equity,LVMH Moet Hennessy Louis Vuitton SE,CHF,SW,FR,Common Stock,797.3,890.1334
TCH EU Equity,Technicolor SA,EUR,EU,FR,Common Stock,3.548,502899.4
1730114D FP Equity,Broadpeak SAS,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALNFL FP Equity,NFL Biosciences SA,EUR,FP,FR,Common Stock,0.97,31163.67
IDIP FP Equity,IDI SCA,EUR,FP,FR,Common Stock,53.8,428.1333
ALBPS FP Equity,Biophytis SA,EUR,FP,FR,Common Stock,0.133,994042.6
ALCG FP Equity,CABASSE GROUP,EUR,FP,FR,Common Stock,3.05,2365.867
GAM FP Equity,Gaumont SA,EUR,FP,FR,Common Stock,110,87.73333
FFP EP Equity,PEUGEOT INVEST,EUR,EP,FR,Common Stock,106.8,5157.967
SANF IM Equity,Sanofi,EUR,IM,FR,Common Stock,100.5,653.1667
CA EU Equity,Carrefour SA,EUR,EU,FR,Common Stock,19.305,6944866
PAT FP Equity,Patrimoine et Commerce,EUR,FP,FR,Common Stock,18.9,741.8666
ALUCI FP Equity,Lucibel SA,EUR,FP,FR,Common Stock,1.15,43053.3
AF IM Equity,Air France-KLM,EUR,IM,FR,Common Stock,1.7515,117307.3
ALMIL FP Equity,1000mercis,EUR,FP,FR,Common Stock,30,1038.067
ALPOU FP Equity,Poulaillon SA,EUR,FP,FR,Common Stock,4.45,796.2333
ALVGO FP Equity,VOGO SACA,EUR,FP,FR,Common Stock,4.68,1446.433
HOP FP Equity,Hopscotch Groupe,EUR,FP,FR,Common Stock,14.4,1626.867
SBGSF US Equity,Schneider Electric SE,USD,US,FR,Common Stock,139.11,3976.533447
ALITL FP Equity,IT Link SA,EUR,FP,FR,Common Stock,27.3,1425.467
ALLEX FP Equity,Lexibook,EUR,FP,FR,Common Stock,4.74,14416.8
PARP FP Equity,Groupe Partouche SA,EUR,FP,FR,Common Stock,20.1,348.3667
MLPAP FP Equity,LES Agences de Papa SAS,EUR,FP,FR,Common Stock,1.58,465.8
MKEA FP Equity,Mauna Kea Technologies,EUR,FP,FR,Common Stock,0.535,83754.27
ALWIT FP Equity,Witbe.net SA,EUR,FP,FR,Common Stock,7.19,6027.8
ALSGD FP Equity,SpineGuard SA,EUR,FP,FR,Common Stock,0.86,86135.53
CIV FP Equity,Caisse Regionale de Credit Agricole Mutuel d'Ille-et-Vilaine,EUR,FP,FR,Common Stock,65.49,182.9667
BLEE FP Equity,Bleecker SA,EUR,FP,FR,Common Stock,182,34.66667
ALDEI FP Equity,Deinove,EUR,FP,FR,Common Stock,0.235,81492.1
ALMII FP Equity,M2i,EUR,FP,FR,Common Stock,4.27,1699.367
GALIM FP Equity,Galimmo SA,EUR,FP,FR,Common Stock,13.1,5.533333
TFI EU Equity,Television Francaise 1,EUR,EU,FR,Common Stock,7.845,805218.9
178179Q FP Equity,HSBC Continental Europe SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
AIR SM Equity,Airbus SE,EUR,SM,FR,Common Stock,109.66,5886.7
ASF FP Equity,Autoroutes du Sud de la France SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ITE FP Equity,Itesoft SA,EUR,FP,FR,Common Stock,4,10340.4
ALESA FP Equity,Ecoslops SA,EUR,FP,FR,Common Stock,9.4,1656.867
UBI1 EU Equity,Ubisoft Entertainment SA,EUR,EU,FR,Common Stock,48.5,1687949
0NWV LI Equity,Schneider Electric SE,EUR,LI,FR,Common Stock,128.63,413188.7
ALLUX FP Equity,Installux SA,EUR,FP,FR,Common Stock,400,75.83334
CRLO FP Equity,Credit Agricole Loire Haute-Loire,EUR,FP,FR,Common Stock,60,162.1333
MOH TH Equity,LVMH Moet Hennessy Louis Vuitton SE,EUR,TH,FR,Common Stock,611,4701.3
AI EU Equity,Air Liquide SA,EUR,EU,FR,Common Stock,161.7,2302550
NEXTS FP Equity,Nextstage SCA,EUR,FP,FR,Common Stock,88,16.5
BNPQF US Equity,BNP Paribas SA,USD,US,FR,Common Stock,57.6,3764.06665
EN EU Equity,Bouygues SA,EUR,EU,FR,Common Stock,32.21,2645079
GFI FP Equity,Inetum SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
PPRUF US Equity,Kering SA,USD,US,FR,Common Stock,537.08,946.2666626
ALMGI FP Equity,MG International SA,EUR,FP,FR,Common Stock,13,1104.533
CAT31 FP Equity,Caisse Regionale De Credit Agricole Mutuel Toulouse 31,EUR,FP,FR,Common Stock,76.49,305.2667
ALONX FP Equity,Onxeo SA,EUR,FP,FR,Common Stock,0.35,24517.47
BN EU Equity,Danone SA,EUR,EU,FR,Common Stock,55.225,5038337
ALBOO FP Equity,Boostheat SACA,EUR,FP,FR,Common Stock,0.39,25928.63
TE1EUR EU Equity,Technip Energies NV,EUR,EU,FR,Common Stock,12.57,1228048
TEC FP Equity,Technip SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALCJ FP Equity,Crossject SA,EUR,FP,FR,Common Stock,1.908,38845.73
MHM FP Equity,Myhotelmatch SACA,EUR,FP,FR,Common Stock,0.026,98064.84
737328Z FP Equity,Criteo SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ALGEN FP Equity,genOway SA,EUR,FP,FR,Common Stock,3.46,5148.433
MEMS FP Equity,Memscap SA,EUR,FP,FR,Common Stock,1.165,3116.867
ALBDM FP Equity,BD Multi-Media SA,EUR,FP,FR,Common Stock,4.73,11750.43
AXA GY Equity,AXA SA,EUR,GY,FR,Common Stock,23.715,74944.2
EO EU Equity,Faurecia SE,EUR,EU,FR,Common Stock,26.17,3413727
ALAST FP Equity,AST Groupe SA,EUR,FP,FR,Common Stock,3.48,2302.7
IS FP Equity,Icade Sante SACA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
MDW FP Equity,Mediawan SA,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
HESAF US Equity,Hermes International,USD,US,FR,Common Stock,1185.08,247.3999939
ALKLK FP Equity,Kerlink SACA,EUR,FP,FR,Common Stock,3.71,18037.77
BSD FP Equity,Bourse Direct,EUR,FP,FR,Common Stock,3.29,4494.3
VIV EU Equity,Vivendi SE,EUR,EU,FR,Common Stock,11.155,7599725
CRSU FP Equity,Caisse Regionale de Credit Agricole Mutuel Sud Rhone Alpes,EUR,FP,FR,Common Stock,134.04,152.5
EURS FP Equity,Fonciere Euris SA,EUR,FP,FR,Common Stock,7.5,268.9
SW EU Equity,Sodexo SA,EUR,EU,FR,Common Stock,70.42,554496.4
GV FP Equity,Genomic Vision,EUR,FP,FR,Common Stock,0.093,280999.4
ALGTR FP Equity,Groupe Tera SACA,EUR,FP,FR,Common Stock,8.55,1495.433
CMUT FP Equity,Credit Mutuel Alliance Federale,EUR,FP,FR,Common Stock,#N/A N/A,#N/A N/A
ARTE FP Equity,Artea SARLU,EUR,FP,FR,Common Stock,18.4,488.4
CRLA FP Equity,Caisse Regionale de Credit Agricole Mutuel du Languedoc SCCV,EUR,FP,FR,Common Stock,52.05,572.2667
HO EU Equity,Thales SA,EUR,EU,FR,Common Stock,114.725,896537.3
EADSF US Equity,Airbus SE,USD,US,FR,Common Stock,117.748,5745.366699
FNTS FP Equity,Finatis SA,EUR,FP,FR,Common Stock,21,17.4
ACA EU Equity,Credit Agricole SA,EUR,EU,FR,Common Stock,10.26,16884450
TEP1 EU Equity,Teleperformance,EUR,EU,FR,Common Stock,305.9,261784.4
ALKKO FP Equity,KKO International SA,EUR,FP,FR,Common Stock,0.153,476593.4
LBON FP Equity,Cie Lebon SA,EUR,FP,FR,Common Stock,83.2,226.6
SQU TH Equity,Vinci SA,EUR,TH,FR,Common Stock,90.23,2148.833
ARVCF US Equity,Areva SA,USD,US,FR,Common Stock,#N/A N/A,#N/A N/A
PAOR EU Equity,Rothschild & Co,EUR,EU,FR,Common Stock,36.8,55716.87
VEOEF US Equity,Veolia Environnement SA,USD,US,FR,Common Stock,28.23,3754.666748
MLAHC FP Equity,@health SACA,EUR,FP,FR,Common Stock,#N/A N/A,0
MOH GR Equity,LVMH Moet Hennessy Louis Vuitton SE,EUR,GR,FR,Common Stock,606.5,3208.267
