Ticker,Company Name,Currency,Exchange,Country/Region,Type,Price,Avg Vol,sedol
ALBFR FP Equity,Sidetrade,EUR,FP,FR,Common Stock,148.0,1802.167,
LOUP FP Equity,Societe LDC SA,EUR,FP,FR,Common Stock,93.8,1320.533,BD5BPJ2
ALCLS FP Equity,Cellectis SA,EUR,FP,FR,Common Stock,3.28,358393.8,B1P76L5
FORSE FP Equity,Forsee Power SACA,EUR,FP,FR,Common Stock,2.94,18762.83,
BLC FP Equity,Bastide le Confort Medical,EUR,FP,FR,Common Stock,36.15,3129.0,
ALVDM FP Equity,Voyageurs du Monde,EUR,FP,FR,Common Stock,102.4,2483.867,
UG FP Equity,Peugeot SA,EUR,FP,FR,Common Stock,,,7103526
SII FP Equity,Societe pour l'Informatique Industrielle,EUR,FP,FR,Common Stock,45.3,9085.5,
VETO FP Equity,Vetoquinol SA,EUR,FP,FR,Common Stock,123.0,2501.3,
INF FP Equity,Infotel SA,EUR,FP,FR,Common Stock,53.2,1828.9,
PEUG FP Equity,PEUGEOT INVEST,EUR,FP,FR,Common Stock,106.8,4730.933,
SAVE FP Equity,Savencia SA,EUR,FP,FR,Common Stock,62.0,7423.7,4356925
NHOA FP Equity,NHOA,EUR,FP,FR,Common Stock,12.1,4530.867,
AIR GY Equity,Airbus SE,EUR,GY,FR,Common Stock,109.52,419964.1,
MAU FP Equity,Etablissements Maurel et Prom SA,EUR,FP,FR,Common Stock,4.925,578222.8,B05DY78
MTU FP Equity,Manitou BF SA,EUR,FP,FR,Common Stock,21.65,30615.87,5724048
ALPHA FP Equity,Pharnext SA,EUR,FP,FR,Common Stock,0.0097,13166730.0,
THEP FP Equity,Thermador Groupe,EUR,FP,FR,Common Stock,93.7,2738.467,BFMGL63
GDS FP Equity,Ramsay Generale de Sante,EUR,FP,FR,Common Stock,24.0,1668.3,
ARR FP Equity,APRR SA,EUR,FP,FR,Common Stock,,,
LOCAL FP Equity,Solocal Group,EUR,FP,FR,Common Stock,1.024,311477.8,BYTBRM2
ABCA FP Equity,ABC arbitrage,EUR,FP,FR,Common Stock,7.24,49487.54,4121714
STF FP Equity,Stef SA,EUR,FP,FR,Common Stock,91.0,2675.567,B0VY3M3
940 GR Equity,Euroapi SA,EUR,GR,FR,Common Stock,13.66,,
GOE FP Equity,Groupe Gorge SA,EUR,FP,FR,Common Stock,17.86,13040.63,
NRO FP Equity,Neurones,EUR,FP,FR,Common Stock,36.55,3345.067,
CGM FP Equity,Cegedim SA,EUR,FP,FR,Common Stock,24.45,5274.033,
SRP FP Equity,SRP Groupe SA,EUR,FP,FR,Common Stock,1.42,177258.5,BYNZ9V3
SBT FP Equity,Oeneo SA,EUR,FP,FR,Common Stock,14.5,10463.77,5998177
BOI FP Equity,Boiron SA,EUR,FP,FR,Common Stock,42.75,10213.47,7622043
IPH FP Equity,Innate Pharma SA,EUR,FP,FR,Common Stock,2.832,152588.4,B1G5FB1
AKW FP Equity,AKWEL,EUR,FP,FR,Common Stock,18.08,8386.934,
ALVIV FP Equity,Visiativ SA,EUR,FP,FR,Common Stock,34.1,3456.267,
EKI FP Equity,Ekinops SAS,EUR,FP,FR,Common Stock,6.5,24522.3,
ALLDL FP Equity,Groupe LDLC,EUR,FP,FR,Common Stock,30.35,12636.67,
GNFT FP Equity,Genfit,EUR,FP,FR,Common Stock,3.28,97719.43,B03B708
ALHRS FP Equity,Hydrogen Refueling Solutions,EUR,FP,FR,Common Stock,20.78,8580.1,
NANO FP Equity,Nanobiotix SA,EUR,FP,FR,Common Stock,4.875,38126.13,
SIGHT FP Equity,GenSight Biologics SA,EUR,FP,FR,Common Stock,2.56,146727.5,
ALDLT FP Equity,Delta Plus Group,EUR,FP,FR,Common Stock,81.7,1660.933,
METEX FP Equity,METabolic EXplorer SA,EUR,FP,FR,Common Stock,4.622,72431.93,
ALBLD FP Equity,Bilendi,EUR,FP,FR,Common Stock,27.5,5370.533,
ALCLA FP Equity,Clasquin,EUR,FP,FR,Common Stock,61.4,1888.267,
VAC FP Equity,Pierre Et Vacances SA,EUR,FP,FR,Common Stock,7.0,9643.434,5700479
MAN FP Equity,Manutan International,EUR,FP,FR,Common Stock,78.0,685.7333,
PWG FP Equity,Prodways Group SA,EUR,FP,FR,Common Stock,2.7,33120.3,
NAVYA FP Equity,NAVYA SAS,EUR,FP,FR,Common Stock,1.54,241655.6,
ALKAL FP Equity,Kalray SADIR,EUR,FP,FR,Common Stock,23.0,6762.9,
CATG FP Equity,Catana Group,EUR,FP,FR,Common Stock,7.4,82220.53,
AXW FP Equity,Axway Software SA,EUR,FP,FR,Common Stock,17.0,5569.767,B3S0TP0
CEN FP Equity,Groupe Crit,EUR,FP,FR,Common Stock,64.6,855.1667,7071775
LPE FP Equity,Laurent-Perrier,EUR,FP,FR,Common Stock,92.4,530.1667,
ALAFY FP Equity,Afyren SAS,EUR,FP,FR,Common Stock,7.51,1488.233,
ALBIO FP Equity,Biosynex,EUR,FP,FR,Common Stock,16.5,33210.27,
LBIRD FP Equity,Lumibird,EUR,FP,FR,Common Stock,19.6,9437.6,
GLO FP Equity,GL Events,EUR,FP,FR,Common Stock,17.82,14693.43,7154104
LNA FP Equity,LNA Sante SA,EUR,FP,FR,Common Stock,37.35,6283.367,B03GCV9
FGA FP Equity,FIGEAC-AERO,EUR,FP,FR,Common Stock,5.33,7929.033,BHC8KJ9
ALERS FP Equity,Eurobio Scientific SA,EUR,FP,FR,Common Stock,21.1,45445.54,
ALGIL FP Equity,Groupe Guillin,EUR,FP,FR,Common Stock,22.15,7137.1,BYTH656
ALFOC FP Equity,Focus Entertainment,EUR,FP,FR,Common Stock,41.6,1994.4,BVRYS85
ALHPI FP Equity,Hopium SA,EUR,FP,FR,Common Stock,20.0,4689.6,
ALHAF FP Equity,Haffner Energy SA,EUR,FP,FR,Common Stock,8.136,5320.167,
AB FP Equity,AB Science SA,EUR,FP,FR,Common Stock,10.13,45253.33,B5VSTM2
HDF FP Equity,Hydrogene de France SACA,EUR,FP,FR,Common Stock,28.5,4101.0,
OLG FP Equity,OL Groupe SA,EUR,FP,FR,Common Stock,2.41,21984.57,
ALCYB FP Equity,Cybergun SA,EUR,FP,FR,Common Stock,0.398,1475871.0,
PIG FP Equity,Haulotte Group SA,EUR,FP,FR,Common Stock,4.2,8963.366,5968846
ALUMS FP Equity,Umanis SA,EUR,FP,FR,Common Stock,17.12,28374.77,
AAC FP Equity,Accor Acquisition Co SA,EUR,FP,FR,Common Stock,9.65,16860.6,
ALDBT FP Equity,DBT SACA,EUR,FP,FR,Common Stock,0.0232,8561207.0,
FALG FP Equity,Fermentalg,EUR,FP,FR,Common Stock,2.472,72561.34,
ALSTW FP Equity,Streamwide,EUR,FP,FR,Common Stock,21.2,1954.9,
IVA FP Equity,Inventiva SACA,EUR,FP,FR,Common Stock,8.59,8111.6,
ALCAR FP Equity,Carmat SA,EUR,FP,FR,Common Stock,12.3,42976.04,
ADOC FP Equity,Adocia,EUR,FP,FR,Common Stock,5.05,19447.07,
ALLIX FP Equity,Wallix Group,EUR,FP,FR,Common Stock,17.94,5623.6,
POXEL FP Equity,Poxel SA,EUR,FP,FR,Common Stock,1.974,31193.23,BVL8RS6
SMTPC FP Equity,Societe Marseillaise du Tunnel Prado-Carenage SA,EUR,FP,FR,Common Stock,29.1,4286.033,
ALADO FP Equity,ADOMOS,EUR,FP,FR,Common Stock,0.0276,1421769.0,
SDG FP Equity,Synergie SE,EUR,FP,FR,Common Stock,34.65,2549.3,5999749
PARRO FP Equity,Parrot SA,EUR,FP,FR,Common Stock,5.15,15132.57,B04VST3
EXE FP Equity,Exel Industries,EUR,FP,FR,Common Stock,54.8,627.8333,
ALKEM FP Equity,Groupe Berkem SA,EUR,FP,FR,Common Stock,9.13,2586.8,
GRVO FP Equity,Graines Voltz SA,EUR,FP,FR,Common Stock,169.0,508.0667,
ESI FP Equity,ESI Group,EUR,FP,FR,Common Stock,63.0,1070.1,
ALFRE FP Equity,Freelance.com,EUR,FP,FR,Common Stock,7.34,14285.43,
EO IM Equity,Faurecia SE,EUR,IM,FR,Common Stock,26.11,40411.7,BGPK545
SFR FP Equity,Altice France SA/France,EUR,FP,FR,Common Stock,,,BG3FC18
LTA FP Equity,Altamir,EUR,FP,FR,Common Stock,25.945,5306.133,B1YJJ57
UFF FP Equity,Union Financiere de France BQE SA,EUR,FP,FR,Common Stock,16.95,5350.0,
LAT FP Equity,Latecoere SACA,EUR,FP,FR,Common Stock,0.4265,103779.7,7530146
EAPIEUR EU Equity,Euroapi SA,EUR,EU,FR,Common Stock,13.73,,
RE FP Equity,Colas SA,EUR,FP,FR,Common Stock,125.5,521.6,
ALFPC FP Equity,Fountaine Pajot SA,EUR,FP,FR,Common Stock,104.0,517.7,
ALSEN FP Equity,Sensorion SA,EUR,FP,FR,Common Stock,0.45,67070.84,
LIN FP Equity,Linedata Services,EUR,FP,FR,Common Stock,42.2,5158.333,
ABEO FP Equity,Abeo SA,EUR,FP,FR,Common Stock,17.15,1176.433,
AYJ TH Equity,Valneva SE,EUR,TH,FR,Common Stock,11.53,170073.0,
VMX FP Equity,Verimatrix SA,EUR,FP,FR,Common Stock,0.786,94498.9,
SX FP Equity,CS Group SA,EUR,FP,FR,Common Stock,6.8,5334.6,
ALDNE FP Equity,Dont Nod Entertainment SA,EUR,FP,FR,Common Stock,11.9,3868.333,
ALREW FP Equity,ReWorld Media SA,EUR,FP,FR,Common Stock,6.18,58289.46,
